Category_ID,Category_Name,Category_Description,Category_Image
94,Documentary|Horror|War,"Corros unsp deg mult fingers (nail), not including thumb",http://dummyimage.com/143x100.png/dddddd/000000
95,Action|Adventure|Drama,"Glasgow coma scale score 3-8, in the field",http://dummyimage.com/226x100.png/cc0000/ffffff
96,Comedy|Drama|Musical,"Puncture wound with foreign body of unsp breast, subs encntr",http://dummyimage.com/163x100.png/ff4444/ffffff
97,Comedy|Drama|Romance,"Displ seg fx shaft of rad, l arm, 7thG",http://dummyimage.com/233x100.png/cc0000/ffffff
98,Drama|Mystery|Thriller,"Abrasion of right ear, subsequent encounter",http://dummyimage.com/187x100.png/ff4444/ffffff
99,Drama,"Disp fx of base of fifth MC bone. left hand, init for opn fx",http://dummyimage.com/117x100.png/cc0000/ffffff
100,Comedy,"Antivaricose drugs, including sclerosing agents",http://dummyimage.com/119x100.png/cc0000/ffffff
101,Drama,Personal history of other benign neoplasm,http://dummyimage.com/233x100.png/5fa2dd/ffffff
102,Action|Crime|Drama,"Person outside bus injured pick-up truck, pk-up/van in traf",http://dummyimage.com/194x100.png/dddddd/000000
103,Animation,"Unsp fracture of unsp forearm, subs for clos fx w nonunion",http://dummyimage.com/242x100.png/5fa2dd/ffffff
104,Comedy|Crime|Fantasy,"Other chondrocalcinosis, right ankle and foot",http://dummyimage.com/245x100.png/cc0000/ffffff
105,Crime|Drama|Horror,"Disp fx of shaft of unsp clavicle, init for opn fx",http://dummyimage.com/248x100.png/5fa2dd/ffffff
106,Adventure|Animation|Children|Fantasy|Mystery,Problems related to lifestyle,http://dummyimage.com/157x100.png/5fa2dd/ffffff
107,Drama|Romance,"Unsp injury of less saphenous at lower leg level, unsp leg",http://dummyimage.com/203x100.png/dddddd/000000
108,Comedy|Horror,"Unsp physl fx upper end l fibula, subs for fx w delay heal",http://dummyimage.com/219x100.png/5fa2dd/ffffff
109,Drama,"Nondisp oblique fx shaft of l femr, 7thG",http://dummyimage.com/122x100.png/5fa2dd/ffffff
110,Comedy,"Contusion of right lesser toe(s) w/o damage to nail, sequela",http://dummyimage.com/124x100.png/5fa2dd/ffffff
111,Comedy,Traumatic rupture of unspecified ligament of wrist,http://dummyimage.com/190x100.png/dddddd/000000
112,Crime|Drama|Mystery|Thriller,Ptosis of breast,http://dummyimage.com/220x100.png/dddddd/000000
113,Romance,"Poisoning by selective serotonin reuptake inhibitors, acc",http://dummyimage.com/162x100.png/dddddd/000000
114,Drama|Romance,"Abrasion, left great toe, sequela",http://dummyimage.com/203x100.png/5fa2dd/ffffff
115,Comedy|Drama|Romance,"Contact with contaminated hypodermic needle, init encntr",http://dummyimage.com/130x100.png/cc0000/ffffff
116,Drama|Horror|Mystery,"Nondisp fx of triquetrum bone, r wrs, 7thG",http://dummyimage.com/157x100.png/cc0000/ffffff
117,Comedy|Drama,Crohn's disease of small intestine with complications,http://dummyimage.com/146x100.png/cc0000/ffffff
118,Drama|War,Dislocation of MTP joint of unsp lesser toe(s),http://dummyimage.com/198x100.png/5fa2dd/ffffff
119,Crime|Drama|Mystery,Other specified urinary incontinence,http://dummyimage.com/213x100.png/dddddd/000000
120,Adventure|Fantasy|Sci-Fi,"Underdosing of oral contraceptives, initial encounter",http://dummyimage.com/143x100.png/dddddd/000000
121,Crime|Drama|Horror|Thriller,"Athscl autol vein bypass of extrm w intrmt claud, oth extrm",http://dummyimage.com/115x100.png/5fa2dd/ffffff
122,Action|Adventure|War,"Unspecified open wound, left foot, initial encounter",http://dummyimage.com/225x100.png/dddddd/000000
123,Drama|Romance,"Passenger on bus injured in clsn w unsp mv nontraf, init",http://dummyimage.com/120x100.png/cc0000/ffffff
124,Drama|Romance,"Complete traumatic amputation of left breast, subs encntr",http://dummyimage.com/240x100.png/cc0000/ffffff
125,Documentary|War,Other superficial bite of unspecified shoulder,http://dummyimage.com/123x100.png/cc0000/ffffff
126,Horror,"Fatigue fx vertebra, thor region, subs for fx w delay heal",http://dummyimage.com/228x100.png/ff4444/ffffff
127,Drama,"Unspecified subluxation of right patella, initial encounter",http://dummyimage.com/198x100.png/5fa2dd/ffffff
128,Drama,"Presence of artificial knee joint, bilateral",http://dummyimage.com/100x100.png/5fa2dd/ffffff
129,(no genres listed),Aneurysm of heart,http://dummyimage.com/224x100.png/dddddd/000000
130,Crime|Documentary,"Stress fracture, unsp finger(s), subs for fx w malunion",http://dummyimage.com/186x100.png/ff4444/ffffff
131,Fantasy|Horror|Thriller,Autoinflammatory syndromes,http://dummyimage.com/215x100.png/cc0000/ffffff
132,Drama|Romance,"Other mechanical complication of umbrella device, sequela",http://dummyimage.com/241x100.png/dddddd/000000
133,Comedy|Drama|Romance,Presence of other specified functional implants,http://dummyimage.com/128x100.png/ff4444/ffffff
134,Fantasy,"Unsp inj less saphenous at lower leg level, unsp leg, init",http://dummyimage.com/232x100.png/dddddd/000000
135,Animation|Children|Comedy,"Accident to, on or involving ice yacht, sequela",http://dummyimage.com/242x100.png/cc0000/ffffff
136,Drama|Horror|Mystery,Car passenger injured in collision w pedal cycle nontraf,http://dummyimage.com/187x100.png/ff4444/ffffff
137,Drama|Romance,"Unspecified injury of thoracic trachea, initial encounter",http://dummyimage.com/223x100.png/5fa2dd/ffffff
138,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,Influenza due to unidentified influenza virus w oth manifest,http://dummyimage.com/181x100.png/cc0000/ffffff
139,Western,"Onchocerciasis with eye involvement, unspecified",http://dummyimage.com/120x100.png/dddddd/000000
140,Comedy|Crime|Drama,"Major laceration of right external jugular vein, subs encntr",http://dummyimage.com/101x100.png/cc0000/ffffff
141,Action|Crime|Drama|Horror,"Other sprain of unspecified hip, subsequent encounter",http://dummyimage.com/102x100.png/cc0000/ffffff
142,Drama,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",http://dummyimage.com/113x100.png/5fa2dd/ffffff
143,Documentary,"Burn 3rd deg mu sites of left shldr/up lmb, ex wrs/hnd, init",http://dummyimage.com/240x100.png/cc0000/ffffff
144,Musical,"Open bite of abd wall, l upr q w penet perit cav, sequela",http://dummyimage.com/113x100.png/ff4444/ffffff
145,Action|Comedy|Crime|Thriller,4-part fracture of surgical neck of left humerus,http://dummyimage.com/138x100.png/cc0000/ffffff
146,Action|Drama|Fantasy,"Inj intercostal blood vessels, right side, init encntr",http://dummyimage.com/126x100.png/5fa2dd/ffffff
147,Documentary,"Hydroxyapatite deposition disease, unspecified elbow",http://dummyimage.com/216x100.png/cc0000/ffffff
148,Crime|Drama,Other foreign object in bronchus causing other injury,http://dummyimage.com/177x100.png/dddddd/000000
149,Musical,"Mediastnl large B-cell lymph, nodes of head, face, and neck",http://dummyimage.com/207x100.png/dddddd/000000
150,Comedy|Drama|Romance,"Stress fracture, left foot, sequela",http://dummyimage.com/214x100.png/cc0000/ffffff
151,Crime|Drama|Thriller,"Twin pregnancy, monochorionic/diamniotic, first trimester",http://dummyimage.com/113x100.png/5fa2dd/ffffff
152,Mystery|Sci-Fi|Thriller|IMAX,Other deformities of toe(s) (acquired),http://dummyimage.com/128x100.png/cc0000/ffffff
153,Documentary,Athscl type of bypass graft(s) of extremity w ulceration,http://dummyimage.com/189x100.png/cc0000/ffffff
154,Drama,"Otalgia, left ear",http://dummyimage.com/127x100.png/cc0000/ffffff
155,Comedy,Toxic liver disease with chronic active hepatitis,http://dummyimage.com/189x100.png/5fa2dd/ffffff
156,Drama,"Displ lateral mass fx first cervcal vert, init for opn fx",http://dummyimage.com/209x100.png/cc0000/ffffff
157,Comedy|Drama,"Struck by golf ball, sequela",http://dummyimage.com/188x100.png/ff4444/ffffff
158,Drama,"Crushed by alligator, initial encounter",http://dummyimage.com/117x100.png/dddddd/000000
159,Comedy,Accessory nipple,http://dummyimage.com/120x100.png/dddddd/000000
160,Crime|Drama,"Adverse effect of mineralocorticoids and their antag, subs",http://dummyimage.com/206x100.png/5fa2dd/ffffff
161,Drama|Thriller,"Contact with hot water in bath or tub, initial encounter",http://dummyimage.com/171x100.png/dddddd/000000
162,Documentary,"Civilian in water injured by military watercraft, sequela",http://dummyimage.com/122x100.png/ff4444/ffffff
163,Drama|Romance,"Displaced unsp fracture of right lesser toe(s), init",http://dummyimage.com/108x100.png/cc0000/ffffff
164,Musical,"Hyp hrt & chr kdny dis w/o hrt fail, w stg 1-4/unsp chr kdny",http://dummyimage.com/189x100.png/dddddd/000000
165,Comedy,"Toxic effect of oth substances, undetermined, init encntr",http://dummyimage.com/148x100.png/ff4444/ffffff
166,Comedy,Fracture of ulna styloid process,http://dummyimage.com/198x100.png/5fa2dd/ffffff
167,Comedy|Romance,Chalazion,http://dummyimage.com/225x100.png/5fa2dd/ffffff
168,Crime|Drama|Mystery|Thriller,"Displ spiral fx shaft of l fibula, 7thR",http://dummyimage.com/222x100.png/cc0000/ffffff
169,Drama,"Contusion of breast, unspecified breast, subs encntr",http://dummyimage.com/188x100.png/dddddd/000000
170,Documentary,"Progressive external ophthalmoplegia, left eye",http://dummyimage.com/101x100.png/5fa2dd/ffffff
171,Action|Horror,"Unsp injury of brachial artery, right side, init encntr",http://dummyimage.com/111x100.png/5fa2dd/ffffff
172,Comedy,Unsp inj flexor musc/fasc/tend r little finger at forarm lv,http://dummyimage.com/152x100.png/ff4444/ffffff
173,Drama,Immersion hand and foot,http://dummyimage.com/117x100.png/cc0000/ffffff
174,Horror|Sci-Fi,Prsn brd/alit pedl cyc injured in collision w rail trn/veh,http://dummyimage.com/117x100.png/dddddd/000000
175,Animation|Children|Fantasy,"Oth comp specific to multiple gestation, first trimester",http://dummyimage.com/116x100.png/5fa2dd/ffffff
176,Thriller,"Strain of musc/fasc/tend at shldr/up arm, right arm",http://dummyimage.com/117x100.png/dddddd/000000
177,Comedy|Horror|Musical,Other enthesopathies,http://dummyimage.com/145x100.png/dddddd/000000
178,Documentary,"Other cyst of bone, left hand",http://dummyimage.com/104x100.png/dddddd/000000
179,Comedy|Drama,"Displacement of femoral arterial graft (bypass), sequela",http://dummyimage.com/184x100.png/dddddd/000000
180,Drama,"Anaphylactic reaction due to food additives, init encntr",http://dummyimage.com/105x100.png/ff4444/ffffff
181,Documentary,"Disp fx of lateral condyle of r femr, 7thQ",http://dummyimage.com/231x100.png/5fa2dd/ffffff
182,Comedy|Drama,"Malignant neoplasm of uterine adnexa, unspecified",http://dummyimage.com/115x100.png/ff4444/ffffff
183,Comedy|Documentary,"Disp fx of prox phalanx of l less toe(s), 7thK",http://dummyimage.com/200x100.png/5fa2dd/ffffff
184,(no genres listed),"Corros second degree of head, face, and neck, unsp site",http://dummyimage.com/136x100.png/5fa2dd/ffffff
185,Comedy|Drama|Romance,"Nondisp fx of base of 2nd MC bone. l hand, 7thD",http://dummyimage.com/146x100.png/ff4444/ffffff
186,Action|Drama|Thriller,"Insect bite (nonvenomous) of nose, sequela",http://dummyimage.com/184x100.png/ff4444/ffffff
187,Drama|Romance,Sicca syndrome with lung involvement,http://dummyimage.com/154x100.png/dddddd/000000
188,Documentary,Dislocation of MCP joint of left middle finger,http://dummyimage.com/163x100.png/ff4444/ffffff
189,Drama,Open bite of larynx,http://dummyimage.com/103x100.png/5fa2dd/ffffff
190,Comedy,"Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, subs",http://dummyimage.com/163x100.png/ff4444/ffffff
191,Adventure|Drama|Romance,"Pathological fracture, left toe(s), subs for fx w malunion",http://dummyimage.com/189x100.png/ff4444/ffffff
192,Comedy|Crime|Drama,Postproc hemor of unsp and adnexa following other procedure,http://dummyimage.com/228x100.png/dddddd/000000
193,Crime|Drama,"Unsp injury of msl/tnd of unsp wall of thorax, init",http://dummyimage.com/202x100.png/cc0000/ffffff
194,Action|Drama|Romance,"Terrorism, secondary effects",http://dummyimage.com/142x100.png/ff4444/ffffff
195,Comedy|Drama,Embolism and thrombosis of other arteries,http://dummyimage.com/139x100.png/ff4444/ffffff
196,Drama,"Nondisp fx of nk of 2nd MC bone, l hand, 7thP",http://dummyimage.com/208x100.png/5fa2dd/ffffff
197,Crime|Mystery,"Other malformation of placenta, first trimester",http://dummyimage.com/103x100.png/dddddd/000000
198,Drama|War,Encounter for immunization,http://dummyimage.com/234x100.png/ff4444/ffffff
199,Comedy|Documentary,"Carcinoma in situ of skin of lower limb, including hip",http://dummyimage.com/100x100.png/dddddd/000000
200,Action|Drama,"Oth fracture of T5-T6 vertebra, init for opn fx",http://dummyimage.com/177x100.png/dddddd/000000
201,Comedy|Sci-Fi,"Disp fx of 4th metatarsal bone, r ft, subs for fx w malunion",http://dummyimage.com/103x100.png/cc0000/ffffff
202,Drama|Romance,"Displ artic fx head of r femur, subs for clos fx w nonunion",http://dummyimage.com/245x100.png/cc0000/ffffff
203,Thriller,"Arthritis due to other bacteria, left hand",http://dummyimage.com/238x100.png/ff4444/ffffff
204,Mystery|Thriller,"Fall into natrl body of water strk botm cause oth inj, sqla",http://dummyimage.com/106x100.png/5fa2dd/ffffff
205,Documentary,"Burn first deg mult sites of left lower limb, except ank/ft",http://dummyimage.com/123x100.png/ff4444/ffffff
206,Comedy|Drama,"Diseases of the skin, subcu complicating the puerperium",http://dummyimage.com/120x100.png/dddddd/000000
207,Crime|Documentary,Madarosis of right lower eyelid and periocular area,http://dummyimage.com/121x100.png/ff4444/ffffff
208,Comedy,"Oth disrd of bone density and structure, right ank/ft",http://dummyimage.com/250x100.png/5fa2dd/ffffff
209,Drama,Motorcycle passenger injured in collision w ped/anml nontraf,http://dummyimage.com/112x100.png/cc0000/ffffff
210,Drama|War,Alpers disease,http://dummyimage.com/175x100.png/cc0000/ffffff
211,Horror|Mystery|Thriller,"Oth exposure to uncontrolled fire in bldg, sequela",http://dummyimage.com/110x100.png/ff4444/ffffff
212,(no genres listed),Digestants,http://dummyimage.com/158x100.png/dddddd/000000
213,Adventure|Animation|Fantasy,"Flail joint, right knee",http://dummyimage.com/129x100.png/5fa2dd/ffffff
214,Documentary,Tuberculosis of spine,http://dummyimage.com/180x100.png/cc0000/ffffff
215,Drama,"Displ seg fx shaft of ulna, r arm, 7thP",http://dummyimage.com/177x100.png/dddddd/000000
216,Comedy|Drama,"Electrolytic, caloric and water-balance agents",http://dummyimage.com/133x100.png/cc0000/ffffff
217,Comedy|Romance,Burns of 70-79% of body surfc w 0% to 9% third degree burns,http://dummyimage.com/125x100.png/5fa2dd/ffffff
218,Drama|Sci-Fi,Obstructed labor due to brow presentation,http://dummyimage.com/135x100.png/cc0000/ffffff
219,Comedy,Pressure ulcer of left hip,http://dummyimage.com/145x100.png/5fa2dd/ffffff
220,Drama,"Poisoning by pyrazolone derivatives, undetermined, subs",http://dummyimage.com/136x100.png/5fa2dd/ffffff
221,Drama,"Disp fx of body of hamate bone, l wrs, 7thD",http://dummyimage.com/220x100.png/cc0000/ffffff
222,Comedy|Crime|Mystery|Romance|Thriller,"Osteitis condensans, ankle and foot",http://dummyimage.com/131x100.png/dddddd/000000
223,Drama,"Blister (nonthermal) of breast, left breast, sequela",http://dummyimage.com/166x100.png/dddddd/000000
224,Comedy,"Disp fx of acromial pro, r shldr, subs for fx w delay heal",http://dummyimage.com/218x100.png/dddddd/000000
225,Comedy|Drama,"Underdosing of other psychostimulants, sequela",http://dummyimage.com/200x100.png/dddddd/000000
226,Comedy|Drama|Romance,"Staphylococcal arthritis, shoulder",http://dummyimage.com/203x100.png/ff4444/ffffff
227,Action,Toxic reaction to local anesthesia during pregnancy,http://dummyimage.com/243x100.png/5fa2dd/ffffff
228,Drama|Romance,"Toxic eff of fluorine gas and hydrogen fluoride, acc, sqla",http://dummyimage.com/144x100.png/ff4444/ffffff
229,Animation|Children|Fantasy,"Torus fx lower end of r fibula, subs for fx w malunion",http://dummyimage.com/165x100.png/5fa2dd/ffffff
230,Drama,"Occupant of pk-up/van injured pick-up truck, pk-up/van",http://dummyimage.com/145x100.png/dddddd/000000
231,Documentary|Musical,Displaced apophyseal fracture of unspecified femur,http://dummyimage.com/228x100.png/ff4444/ffffff
232,Comedy,"Oth physeal fracture of lower end of radius, right arm, init",http://dummyimage.com/147x100.png/ff4444/ffffff
233,Horror,"Displaced bimalleol fx r low leg, init for opn fx type I/2",http://dummyimage.com/159x100.png/dddddd/000000
234,Drama|Film-Noir|Thriller,"Vitreous abscess (chronic), right eye",http://dummyimage.com/113x100.png/dddddd/000000
235,Action|Crime|Drama|Thriller,"Other shellfish poisoning, undetermined, subs encntr",http://dummyimage.com/121x100.png/cc0000/ffffff
236,Comedy|Musical,Cerebral infarction due to embolism of cerebral arteries,http://dummyimage.com/186x100.png/dddddd/000000
237,Comedy|Crime,Liver transplant infection,http://dummyimage.com/178x100.png/cc0000/ffffff
238,Comedy|Drama|Horror,Open wound of penis,http://dummyimage.com/139x100.png/cc0000/ffffff
